Year;DayMonth;deaths
2020;14/02;0
2020;15/02;0
2020;16/02;0
2020;17/02;0
2020;18/02;0
2020;19/02;0
2020;20/02;0
2020;21/02;0
2020;22/02;0
2020;23/02;0
2020;24/02;0
2020;25/02;0
2020;26/02;0
2020;27/02;0
2020;28/02;0
2020;29/02;0
2020;1/03;0
2020;2/03;0
2020;3/03;1
2020;4/03;2
2020;5/03;1
2020;6/03;3
2020;7/03;3
2020;8/03;14
2020;9/03;16
2020;10/03;26
2020;11/03;35
2020;12/03;55
2020;13/03;78
2020;14/03;104
2020;15/03;129
2020;16/03;176
2020;17/03;186
2020;18/03;234
2020;19/03;307
2020;20/03;418
2020;21/03;494
2020;22/03;535
2020;23/03;659
2020;24/03;707
2020;25/03;782
2020;26/03;843
2020;27/03;877
2020;28/03;814
2020;29/03;788
2020;30/03;888
2020;31/03;870
2020;1/04;868
2020;2/04;814
2020;3/04;759
2020;4/04;708
2020;5/04;724
2020;6/04;733
2020;7/04;713
2020;8/04;713
2020;9/04;642
2020;10/04;643
2020;11/04;593
2020;12/04;521
2020;13/04;563
2020;14/04;575
2020;15/04;526
2020;16/04;463
2020;17/04;476
2020;18/04;410
2020;19/04;375
2020;20/04;359
2020;21/04;396
2020;22/04;318
2020;23/04;300
2020;24/04;313
2020;25/04;280
2020;26/04;259
2020;27/04;250
2020;28/04;247
2020;29/04;224
2020;30/04;206
2020;1/05;170
2020;2/05;191
2020;3/05;185
2020;4/05;177
2020;5/05;175
2020;6/05;147
2020;7/05;158
2020;8/05;140
2020;9/05;121
2020;10/05;106
2020;11/05;118
2020;12/05;108
2020;13/05;88
2020;14/05;83
2020;15/05;70
2020;16/05;58
2020;17/05;53
2020;18/05;65
2020;19/05;60
2020;20/05;54
2020;21/05;62
2020;22/05;64
2020;23/05;59
2020;24/05;51
2020;25/05;55
2020;26/05;42
2020;27/05;35
2020;28/05;34
2020;29/05;37
2020;30/05;39
2020;31/05;32
2020;1/06;23
2020;2/06;34
2020;3/06;24
2020;4/06;33
2020;5/06;16
2020;6/06;20
2020;7/06;13
2020;8/06;18
2020;9/06;11
2020;10/06;25
2020;11/06;15
2020;12/06;9
2020;13/06;10
2020;14/06;9
2020;15/06;9
2020;16/06;6
2020;17/06;5
2020;18/06;2
2020;19/06;3
2020;20/06;3
2020;21/06;4
2020;22/06;0
2020;23/06;4
2020;24/06;1
2020;25/06;5
2020;26/06;4
2020;27/06;1
2020;28/06;6
2020;29/06;6
2020;30/06;2
2020;1/07;3
2020;2/07;0
2020;3/07;1
2020;4/07;0
2020;5/07;0
