Year;DayMonth;Cases
2020;31/01;1
2020;1/02;0
2020;2/02;0
2020;3/02;0
2020;4/02;0
2020;5/02;0
2020;6/02;0
2020;7/02;0
2020;8/02;0
2020;9/02;1
2020;10/02;0
2020;11/02;0
2020;12/02;0
2020;13/02;0
2020;14/02;0
2020;15/02;0
2020;16/02;0
2020;17/02;0
2020;18/02;0
2020;19/02;0
2020;20/02;0
2020;21/02;0
2020;22/02;0
2020;23/02;0
2020;24/02;0
2020;25/02;1
2020;26/02;6
2020;27/02;8
2020;28/02;18
2020;29/02;19
2020;1/03;28
2020;2/03;54
2020;3/03;56
2020;4/03;75
2020;5/03;78
2020;6/03;188
2020;7/03;234
2020;8/03;330
2020;9/03;433
2020;10/03;773
2020;11/03;973
2020;12/03;1163
2020;13/03;1527
2020;14/03;1708
2020;15/03;2128
2020;16/03;1707
2020;17/03;2476
2020;18/03;3693
2020;19/03;4045
2020;20/03;4570
2020;21/03;5447
2020;22/03;4862
2020;23/03;4645
2020;24/03;7691
2020;25/03;8547
2020;26/03;8952
2020;27/03;9182
2020;28/03;8244
2020;29/03;6421
2020;30/03;5813
2020;31/03;8147
2020;1/04;7412
2020;2/04;7576
2020;3/04;7265
2020;4/04;6654
2020;5/04;5530
2020;6/04;3666
2020;7/04;5202
2020;8/04;5573
2020;9/04;5744
2020;10/04;4530
2020;11/04;4548
2020;12/04;3896
2020;13/04;3030
2020;14/04;3114
2020;15/04;4410
2020;16/04;3817
2020;17/04;3820
2020;18/04;3833
2020;19/04;2402
2020;20/04;2218
2020;21/04;2950
2020;22/04;2311
2020;23/04;2919
2020;24/04;2106
2020;25/04;2507
2020;26/04;1640
2020;27/04;1662
2020;28/04;1524
2020;29/04;836
2020;30/04;1240
2020;1/05;1374
2020;2/05;1233
2020;3/05;935
2020;4/05;465
2020;5/05;1034
2020;6/05;876
2020;7/05;914
2020;8/05;1160
2020;9/05;714
2020;10/05;621
2020;11/05;373
2020;12/05;426
2020;13/05;439
2020;14/05;506
2020;15/05;549
2020;16/05;539
2020;17/05;421
2020;18/05;285
2020;19/05;295
2020;20/05;416
2020;21/05;344
2020;22/05;446
2020;23/05;361
2020;24/05;246
2020;25/05;132
2020;26/05;194
2020;27/05;231
2020;28/05;182
2020;29/05;187
2020;30/05;271
2020;31/05;96
2020;1/06;71
2020;2/06;137
2020;3/06;219
2020;4/06;195
2020;5/06;177
2020;6/06;164
2020;7/06;102
2020;8/06;48
2020;9/06;84
2020;10/06;167
2020;11/06;156
2020;12/06;155
2020;13/06;130
2020;14/06;48
2020;15/06;40
2020;16/06;76
2020;17/06;141
2020;18/06;143
2020;19/06;154
2020;20/06;134
2020;21/06;141
2020;22/06;125
2020;23/06;108
2020;24/06;196
2020;25/06;157
2020;26/06;191
2020;27/06;191
2020;28/06;118
2020;29/06;84
2020;30/06;99
2020;1/07;149
2020;2/07;134
2020;3/07;174
2020;6/07;78
